region,event_month,supply_source,demande_source,plateforme_AE,device_type,revenue,revenue_EUR
,2025-07-01,Onsite,Open Auction,DM Network,Web+App,266.01783364449147,230.61797455092457
,2025-01-01,Onsite,Sales Driven Direct,DM Network,Web+App,0.1371719738115926,0.13052809383537217
,2025-07-01,Onsite,Sales Driven Prog,DM Network,Web+App,42.728354840210628,37.042353567586154
,2025-06-01,Onsite,Adx,DM Network,Web+App,113.23312128932857,99.940972011763961
,2025-04-01,Onsite,Open Auction,DM Network,Web+App,118.85314706724864,109.78998389658553
,2025-06-01,Onsite,Open Auction,DM Network,Web+App,286.82931288318105,253.15914641057461
,2025-01-01,Onsite,Adx,DM Network,Web+App,29.020208444283089,27.614624078678361
APAC,2025-07-01,Audience Extension,Sales Driven Direct,DV360,CTV,3261.0498471660362,2827.0913282757142
APAC,2025-05-01,Audience Extension,Sales Driven Direct,DV360,CTV,2544.3804717209809,2205.2179508762188
APAC,2025-06-01,Audience Extension,Sales Driven Prog,Equativ Curator,Web+App,1.5661975041939746,1.5661975041939746
APAC,2025-02-01,Audience Extension,Sales Driven Direct,DV360,CTV,0.0,0.0
APAC,2025-06-01,Audience Extension,Sales Driven Direct,DV360,CTV,2987.5634619580896,2636.86095494977
APAC,2025-01-01,Audience Extension,Sales Driven Direct,DV360,Web+App,6282.4952603228912,5978.2046439460382
APAC,2025-04-01,Audience Extension,Sales Driven Direct,Equativ Curator,Web+App,2714.3082369799886,2714.3082369799886
APAC,2025-04-01,Audience Extension,Sales Driven Prog,Equativ Curator,Web+App,35.989651868100943,35.989651868100943
APAC,2025-02-01,Audience Extension,Sales Driven Direct,DV360,Web+App,0.0,0.0
APAC,2025-04-01,Audience Extension,Sales Driven Direct,DV360,CTV,2273.8770779003607,2100.4822667778494
APAC,2025-06-01,Audience Extension,Sales Driven Direct,DV360,Web+App,13300.41687835176,11739.114632261042
APAC,2025-03-01,Audience Extension,Sales Driven Direct,DV360,CTV,393.2312054583885,376.96515885384508
APAC,2025-03-01,Audience Extension,Sales Driven Direct,DV360,Web+App,35359.425166830071,33896.779146652036
APAC,2025-05-01,Audience Extension,Sales Driven Direct,DV360,Web+App,9585.2181390231453,8307.521354674247
APAC,2025-07-01,Audience Extension,Sales Driven Direct,DV360,Web+App,7463.0283024825385,6469.8988318010743
APAC,2025-04-01,Audience Extension,Sales Driven Direct,DV360,Web+App,19266.163726807434,17797.019746716029
APAC,2025-01-01,Audience Extension,Sales Driven Direct,DV360,CTV,19.469309995798042,18.526320292889945
APAC,2025-05-01,Audience Extension,Sales Driven Prog,Equativ Curator,Web+App,34.973569495880433,34.973569495880433
APAC,2025-01-01,Offsite,Sales Driven Prog,DM Network,Web+App,199.11724999999976,189.47307070130341
APAC,2025-05-01,Offsite,Sales Driven Prog,DM Network,Web+App,2728.826690000004,2365.0777344427147
APAC,2025-06-01,Offsite,Sales Driven Direct,DM Network,Web+App,1325.1911381109937,1169.630307247126
APAC,2025-04-01,Offsite,Sales Driven Prog,DM Network,Web+App,1386.6867790328251,1280.9447868761954
APAC,2025-05-01,Offsite,Sales Driven Direct,DM Network,Web+App,11116.645843508073,9634.8117901786045
APAC,2025-03-01,Offsite,Other,DM Network,Web+App,156.65870631822636,150.17850387597792
APAC,2025-02-01,Offsite,Open Auction,DM Network,Web+App,4643.6320858067256,4462.0275639538058
APAC,2025-06-01,Offsite,Sales Driven Prog,DM Network,Web+App,476.75230143179959,420.78755642700759
APAC,2025-06-01,Offsite,Other,DM Network,Web+App,48.326005837000032,42.653138426301879
APAC,2025-02-01,Offsite,Sales Driven Direct,DM Network,Web+App,3069.5384000000126,2949.4939944268403
APAC,2025-05-01,Offsite,Open Auction,DM Network,Web+App,10825.477792827654,9382.45605202605
APAC,2025-06-01,Offsite,Adx,DM Network,Web+App,6214.4465276847195,5484.9483916016943
APAC,2025-04-01,Offsite,Sales Driven Direct,DM Network,Web+App,10063.615477937003,9296.2130875590083
APAC,2025-07-01,Offsite,Adx,DM Network,Web+App,3698.2499608666558,3206.1117996243224
APAC,2025-02-01,Offsite,Sales Driven Prog,DM Network,Web+App,98.378249999999952,94.53084462381085
APAC,2025-07-01,Offsite,Sales Driven Prog,DM Network,Web+App,99.455939999999956,86.221014304291245
APAC,2025-06-01,Offsite,Open Auction,DM Network,Web+App,9202.3027972656982,8122.0677822292128
APAC,2025-01-01,Offsite,Adx,DM Network,Web+App,1838.2621336942284,1749.2265046096
APAC,2025-01-01,Offsite,Other,DM Network,Web+App,313.07796297310523,297.91413357417952
APAC,2025-02-01,Offsite,Other,DM Network,Web+App,251.80011971304884,241.95264698092521
APAC,2025-05-01,Offsite,Other,DM Network,Web+App,47.750516414491265,41.3854363100115
APAC,2025-03-01,Offsite,Sales Driven Prog,DM Network,Web+App,1159.3791329112164,1111.4213036583583
APAC,2025-03-01,Offsite,Sales Driven Direct,DM Network,Web+App,4399.6134037838619,4217.622972519639
APAC,2025-01-01,Offsite,Open Auction,DM Network,Web+App,4470.9444322250065,4254.395691526317
APAC,2025-04-01,Offsite,Other,DM Network,Web+App,298.20740160080805,275.4675549404721
APAC,2025-02-01,Offsite,Adx,DM Network,Web+App,1971.9577727418487,1894.8378713768125
APAC,2025-01-01,Offsite,Sales Driven Direct,DM Network,Web+App,356.20269999999982,338.950137976972
APAC,2025-05-01,Offsite,Adx,DM Network,Web+App,3832.0923728608359,3321.2795743290312
APAC,2025-04-01,Offsite,Open Auction,DM Network,Web+App,10416.673859550569,9622.3489534437849
APAC,2025-04-01,Offsite,Adx,DM Network,Web+App,2519.351126418193,2327.2376577693344
APAC,2025-03-01,Offsite,Adx,DM Network,Web+App,2914.6088420335641,2794.0457671797576
APAC,2025-07-01,Offsite,Sales Driven Direct,DM Network,Web+App,1025.7508040532759,889.25080542113221
APAC,2025-03-01,Offsite,Open Auction,DM Network,Web+App,6354.1098865900531,6091.2715204812857
APAC,2025-07-01,Offsite,Open Auction,DM Network,Web+App,6461.9749995553093,5602.0589506331244
APAC,2025-07-01,Offsite,Other,DM Network,Web+App,40.959907399000016,35.509239184221947
APAC,2025-03-01,Onsite,Sales Driven Prog,DM Network,Web+App,13448.156374328441,12891.872093494167
APAC,2025-01-01,Onsite,Adx,DM Network,Web+App,114847.69501227548,109285.08422521218
APAC,2025-04-01,Onsite,Sales Driven Prog,DM Network,Web+App,20785.896577126019,19200.865158307719
APAC,2025-04-01,Onsite,Sales Driven Direct,DM Network,Web+App,79291.95549624908,73245.536461363532
APAC,2025-05-01,Onsite,Sales Driven Direct,DM Network,Web+App,62112.45146809455,53832.944590132218
APAC,2025-05-01,Onsite,Adx,DM Network,Web+App,121148.7105645901,104999.74914594393
APAC,2025-07-01,Onsite,Adx,DM Network,Web+App,100361.46150127624,87006.035111639561
APAC,2025-06-01,Onsite,Sales Driven Direct,DM Network,Web+App,30880.311022283408,27255.349534230721
APAC,2025-02-01,Onsite,Adx,DM Network,Web+App,145038.24717500727,139366.04898146179
APAC,2025-07-01,Onsite,Other,DM Network,Web+App,4534.0383828555887,3930.6791355488417
APAC,2025-02-01,Onsite,Sales Driven Prog,DM Network,Web+App,14746.087941663165,14169.393621277184
APAC,2025-03-01,Onsite,Adx,DM Network,Web+App,154752.54253567563,148351.18874148073
APAC,2025-03-01,Onsite,Open Auction,DM Network,Web+App,86994.13657310704,83395.615753349979
APAC,2025-02-01,Onsite,Other,DM Network,Web+App,3408.8689328064211,3275.5538895036239
APAC,2025-03-01,Onsite,Sales Driven Direct,DM Network,Web+App,41642.096353756591,39919.567036146851
APAC,2025-01-01,Onsite,Sales Driven Direct,DM Network,Web+App,4984.66244459995,4743.2319389094582
APAC,2025-01-01,Onsite,Sales Driven Prog,DM Network,Web+App,21681.487225452413,20631.351437294143
APAC,2025-03-01,Onsite,Other,DM Network,Web+App,6941.2134990682289,6654.0895356067958
APAC,2025-07-01,Onsite,Sales Driven Direct,DM Network,Web+App,36209.133150845584,31390.665930511994
APAC,2025-04-01,Onsite,Open Auction,DM Network,Web+App,38121.37951896232,35214.428450383188
APAC,2025-05-01,Onsite,Open Auction,DM Network,Web+App,60175.225813481957,52153.948529625552
APAC,2025-07-01,Onsite,Open Auction,DM Network,Web+App,45331.688451377777,39299.253100457543
APAC,2025-06-01,Onsite,Open Auction,DM Network,Web+App,88548.302205693821,78153.841311291981
APAC,2025-07-01,Onsite,Sales Driven Prog,DM Network,Web+App,2544.5272074572472,2205.9186887362353
APAC,2025-01-01,Onsite,Other,DM Network,Web+App,3697.2935576662944,3518.21634567161
APAC,2025-05-01,Onsite,Other,DM Network,Web+App,4639.8455274693724,4021.3603115525852
APAC,2025-02-01,Onsite,Open Auction,DM Network,Web+App,78263.555821171729,75202.801788384488
APAC,2025-06-01,Onsite,Adx,DM Network,Web+App,168840.65541044125,149020.87856173102
APAC,2025-01-01,Onsite,Open Auction,DM Network,Web+App,82675.990258469668,78671.60553665398
APAC,2025-04-01,Onsite,Adx,DM Network,Web+App,113139.68848833225,104512.20589195166
APAC,2025-02-01,Onsite,Sales Driven Direct,DM Network,Web+App,12940.356926282939,12434.281662614529
APAC,2025-05-01,Onsite,Sales Driven Prog,DM Network,Web+App,39218.954094218927,33991.119859784128
APAC,2025-06-01,Onsite,Other,DM Network,Web+App,12701.709485764557,11210.687983905169
APAC,2025-06-01,Onsite,Sales Driven Prog,DM Network,Web+App,9354.1375109186029,8256.079003458608
APAC,2025-04-01,Onsite,Other,DM Network,Web+App,4209.3677805555826,3888.381858164134
EMEA,2025-05-01,Audience Extension,Sales Driven Direct,DV360,Web+App,249288.08762061462,216058.31827059685
EMEA,2025-07-01,Audience Extension,Sales Driven Direct,DV360,CTV,3733.6074716167068,3236.7641713192083
EMEA,2025-06-01,Audience Extension,Sales Driven Direct,DV360,CTV,777.01995698324549,685.807552500658
EMEA,2025-04-01,Audience Extension,Sales Driven Direct,DV360,CTV,895.22616758253673,826.96057233618478
EMEA,2025-05-01,Audience Extension,Sales Driven Direct,DV360,CTV,519.22012098199411,450.008771868603
EMEA,2025-01-01,Audience Extension,Sales Driven Direct,DV360,Web+App,146398.35719180497,139307.60033476542
EMEA,2025-02-01,Audience Extension,Sales Driven Direct,DV360,CTV,7621.083293358125,7323.0357387893973
EMEA,2025-03-01,Audience Extension,Sales Driven Direct,DV360,Web+App,334958.37878424616,321102.79325528076
EMEA,2025-04-01,Audience Extension,Sales Driven Direct,DV360,Web+App,221681.86686259351,204777.48543955802
EMEA,2025-03-01,Audience Extension,Sales Driven Direct,DV360,CTV,1211.0418346712738,1160.9469727951625
EMEA,2025-02-01,Audience Extension,Sales Driven Direct,DV360,Web+App,186931.35514279574,179620.78902930312
EMEA,2025-01-01,Audience Extension,Sales Driven Direct,DV360,CTV,94.543639040524369,89.964448606455775
EMEA,2025-07-01,Audience Extension,Sales Driven Direct,DV360,Web+App,152723.56109914361,132400.13966115614
EMEA,2025-06-01,Audience Extension,Sales Driven Direct,DV360,Web+App,238146.26247389903,210190.87596990206
EMEA,2025-07-01,Offsite,Sales Driven Direct,DM Network,Web+App,48087.944717804457,41688.725373042442
EMEA,2025-02-01,Offsite,Sales Driven Direct,DM Network,Web+App,62109.034551706653,59680.056261849386
EMEA,2025-05-01,Offsite,Adx,DM Network,Web+App,41515.621508166281,35981.644572860358
EMEA,2025-07-01,Offsite,Other,DM Network,Web+App,50203.236759288833,43522.528616635311
EMEA,2025-06-01,Offsite,Other,DM Network,Web+App,90080.191416975882,79505.9059284871
EMEA,2025-05-01,Offsite,Sales Driven Direct,DM Network,Web+App,98946.316963194957,85756.904977634738
EMEA,2025-07-01,Offsite,Adx,DM Network,Web+App,34832.871055273819,30197.547512157624
EMEA,2025-07-01,Offsite,Sales Driven Prog,DM Network,Web+App,61644.109607250226,53440.927271131535
EMEA,2025-02-01,Offsite,Adx,DM Network,Web+App,27968.300932116908,26874.508438663313
EMEA,2025-06-01,Offsite,Sales Driven Direct,DM Network,Web+App,136901.83852093449,120831.27848273123
EMEA,2025-04-01,Offsite,Sales Driven Prog,DM Network,Web+App,92617.820973332928,85555.236223114814
EMEA,2025-06-01,Offsite,Sales Driven Prog,DM Network,Web+App,139653.54188600654,123259.96636011169
EMEA,2025-02-01,Offsite,Sales Driven Prog,DM Network,Web+App,112824.77615693847,108412.39181026086
EMEA,2025-04-01,Offsite,Adx,DM Network,Web+App,30527.49586392381,28199.617443927589
EMEA,2025-01-01,Offsite,Adx,DM Network,Web+App,32688.26377449041,31105.018340936731
EMEA,2025-05-01,Offsite,Sales Driven Prog,DM Network,Web+App,144066.18477866598,124862.35463569596
EMEA,2025-04-01,Offsite,Sales Driven Direct,DM Network,Web+App,53228.920104070225,49169.941438335627
EMEA,2025-03-01,Offsite,Other,DM Network,Web+App,100605.59267172345,96444.032662343336
EMEA,2025-03-01,Offsite,Adx,DM Network,Web+App,34006.995674797283,32600.293030529916
EMEA,2025-05-01,Offsite,Open Auction,DM Network,Web+App,311259.54482117231,269769.062940867
EMEA,2025-07-01,Offsite,Open Auction,DM Network,Web+App,128533.63448671375,111429.24532875055
EMEA,2025-06-01,Offsite,Adx,DM Network,Web+App,64022.834606072247,56507.3562277778
EMEA,2025-04-01,Offsite,Open Auction,DM Network,Web+App,212512.93016164951,196307.72727509079
EMEA,2025-06-01,Offsite,Open Auction,DM Network,Web+App,302958.83767586446,267395.26714551146
EMEA,2025-01-01,Offsite,Open Auction,DM Network,Web+App,184960.93517394961,176002.41238362319
EMEA,2025-03-01,Offsite,Sales Driven Direct,DM Network,Web+App,64635.61052221014,61961.9522812732
EMEA,2025-03-01,Offsite,Sales Driven Prog,DM Network,Web+App,104597.17752287444,100270.50522252258
EMEA,2025-05-01,Offsite,Other,DM Network,Web+App,63480.394392917908,55018.54254889748
EMEA,2025-03-01,Offsite,Open Auction,DM Network,Web+App,197159.43052871147,189003.91173724917
EMEA,2025-02-01,Offsite,Open Auction,DM Network,Web+App,196169.04467248719,188497.20829488535
EMEA,2025-01-01,Offsite,Other,DM Network,Web+App,95345.2940519874,90727.275717944052
EMEA,2025-02-01,Offsite,Other,DM Network,Web+App,107148.05109300559,102957.67377054444
EMEA,2025-01-01,Offsite,Sales Driven Prog,DM Network,Web+App,93378.883394305463,88856.107521463
EMEA,2025-04-01,Offsite,Other,DM Network,Web+App,80311.9334920724,74187.735894020982
EMEA,2025-01-01,Offsite,Sales Driven Direct,DM Network,Web+App,62394.4740043914,59372.417931669428
EMEA,2025-01-01,Onsite,Adx,DM Network,Web+App,214815.3292621421,204410.81859562482
EMEA,2025-06-01,Onsite,Sales Driven Prog,DM Network,Web+App,132957.16127414932,117349.65690569225
EMEA,2025-04-01,Onsite,Sales Driven Direct,DM Network,Web+App,171648.13728614984,158559.08483317154
EMEA,2025-01-01,Onsite,Sales Driven Prog,DM Network,Web+App,115428.86066575763,109838.10130912326
EMEA,2025-03-01,Onsite,Sales Driven Prog,DM Network,Web+App,136088.16247141216,130458.86255228122
EMEA,2025-06-01,Onsite,Adx,DM Network,Web+App,283564.01198459038,250277.15091314242
EMEA,2025-01-01,Onsite,Open Auction,DM Network,Web+App,267299.22758616868,254352.6763594716
EMEA,2025-07-01,Onsite,Other,DM Network,Web+App,103596.59929747875,89810.662589925225
EMEA,2025-02-01,Onsite,Other,DM Network,Web+App,230541.99715487924,221525.8932976643
EMEA,2025-03-01,Onsite,Adx,DM Network,Web+App,261004.85369002441,250208.36283374816
EMEA,2025-07-01,Onsite,Sales Driven Direct,DM Network,Web+App,104509.253553146,90601.866972818389
EMEA,2025-05-01,Onsite,Sales Driven Direct,DM Network,Web+App,289827.38938636228,251193.78521958945
EMEA,2025-06-01,Onsite,Open Auction,DM Network,Web+App,496377.50245607406,438109.00481559936
EMEA,2025-04-01,Onsite,Open Auction,DM Network,Web+App,289279.07597056893,267220.06001622922
EMEA,2025-05-01,Onsite,Other,DM Network,Web+App,123188.91805907742,106767.99970452195
EMEA,2025-01-01,Onsite,Sales Driven Direct,DM Network,Web+App,136295.66387994387,129694.22769049754
EMEA,2025-06-01,Onsite,Sales Driven Direct,DM Network,Web+App,307062.30969886197,271017.04298222589
EMEA,2025-04-01,Onsite,Other,DM Network,Web+App,92687.157429802683,85619.2854185051
EMEA,2025-07-01,Onsite,Open Auction,DM Network,Web+App,272150.60263595975,235934.63600863438
EMEA,2025-06-01,Onsite,Other,DM Network,Web+App,164920.5981513545,145560.98689439939
EMEA,2025-04-01,Onsite,Adx,DM Network,Web+App,253500.95045975823,234170.20041546188
EMEA,2025-05-01,Onsite,Sales Driven Prog,DM Network,Web+App,138425.95211940436,119973.95746178227
EMEA,2025-07-01,Onsite,Adx,DM Network,Web+App,166521.27056293839,144361.74301078316
EMEA,2025-03-01,Onsite,Sales Driven Direct,DM Network,Web+App,224495.85831450511,215209.56556056664
EMEA,2025-07-01,Onsite,Sales Driven Prog,DM Network,Web+App,97321.010472400027,84370.186798786322
EMEA,2025-02-01,Onsite,Adx,DM Network,Web+App,257618.42843681667,247543.41158529517
EMEA,2025-03-01,Onsite,Other,DM Network,Web+App,234527.00673884974,224825.77456631331
EMEA,2025-04-01,Onsite,Sales Driven Prog,DM Network,Web+App,93106.505273103714,86006.65583400648
EMEA,2025-02-01,Onsite,Sales Driven Prog,DM Network,Web+App,129459.42071734862,124396.48382564489
EMEA,2025-02-01,Onsite,Open Auction,DM Network,Web+App,298137.69786153856,286478.04156965367
EMEA,2025-03-01,Onsite,Open Auction,DM Network,Web+App,306782.68672020384,294092.59140124032
EMEA,2025-05-01,Onsite,Adx,DM Network,Web+App,237134.19018022981,205524.51913696466
EMEA,2025-01-01,Onsite,Other,DM Network,Web+App,238237.46095591012,226698.50695205075
EMEA,2025-05-01,Onsite,Open Auction,DM Network,Web+App,364448.19730327348,315867.73903906526
EMEA,2025-02-01,Onsite,Sales Driven Direct,DM Network,Web+App,236949.13530149648,227682.459211585
France,2025-05-01,Audience Extension,Sales Driven Direct,DV360,CTV,33.550978378832085,29.078677742097494
France,2025-07-01,Audience Extension,Sales Driven Direct,DV360,Web+App,105021.86741737339,91046.26564141603
France,2025-04-01,Audience Extension,Sales Driven Prog,Equativ Curator,Web+App,10807.716003999998,10807.716003999998
France,2025-04-01,Audience Extension,Sales Driven Direct,DV360,CTV,22.731504660134942,20.998110627809286
France,2025-03-01,Audience Extension,Sales Driven Direct,DV360,CTV,10850.168146646862,10401.349898525486
France,2025-04-01,Audience Extension,Sales Driven Direct,DV360,Web+App,117116.61924584348,108185.87524441688
France,2025-01-01,Audience Extension,Sales Driven Direct,DV360,Web+App,39423.269645996988,37513.816391661421
France,2025-06-01,Audience Extension,Sales Driven Prog,Equativ Curator-Xandr Curator,Web+App,4739.0235,4739.0235
France,2025-05-01,Audience Extension,Sales Driven Direct,DV360,Web+App,332341.01096742204,288040.3977876773
France,2025-03-01,Audience Extension,Sales Driven Direct,Spring Serve,CTV,54820.425219964236,54820.425219964236
France,2025-03-01,Audience Extension,Sales Driven Direct,DV360,Web+App,190689.57852049518,182801.6857791259
France,2025-02-01,Audience Extension,Sales Driven Direct,Spring Serve,CTV,5603.0809862487213,5603.0809862487213
France,2025-01-01,Audience Extension,Sales Driven Direct,DV360,CTV,4231.4205576173672,4026.4730779497263
France,2025-06-01,Audience Extension,Sales Driven Prog,Xandr Curator,Web+App,675.04122998350806,675.04122998350806
France,2025-02-01,Audience Extension,Sales Driven Direct,DV360,CTV,24132.779303900545,23188.987512155803
France,2025-05-01,Audience Extension,Sales Driven Prog,Equativ Curator,Web+App,33835.4265,33835.4265
France,2025-02-01,Audience Extension,Sales Driven Direct,DV360,Web+App,167378.57358618636,160832.68337290897
France,2025-04-01,Audience Extension,Sales Driven Direct,Spring Serve,CTV,48939.193224351387,48939.193224351387
France,2025-07-01,Audience Extension,Sales Driven Direct,DV360,CTV,6.2202942057422783,5.3925394067986812
France,2025-06-01,Audience Extension,Sales Driven Direct,DV360,CTV,3.5281643702215941,3.1140020919872851
France,2025-06-01,Audience Extension,Sales Driven Direct,DV360,Web+App,309839.85779199185,273468.54174050473
France,2025-07-01,Audience Extension,Sales Driven Prog,Xandr Curator,Web+App,32232.586500230387,32232.586500230387
France,2025-06-01,Offsite,Sales Driven Prog,DM Network,Web+App,1096496.9765034993,967781.97396601876
France,2025-03-01,Offsite,Other,DM Network,Web+App,11236.407613673966,10771.612532880186
France,2025-06-01,Offsite,Open Auction,DM Network,Web+App,555627.91258912173,490404.15939022216
France,2025-06-01,Offsite,Adx,DM Network,Web+App,62735.639802363781,55371.261961486125
France,2025-05-01,Offsite,Other,DM Network,Web+App,14301.397339770931,12395.040162741318
France,2025-07-01,Offsite,Other,DM Network,Web+App,16037.358335490184,13903.214855214725
France,2025-05-01,Offsite,Sales Driven Prog,DM Network,Web+App,821654.94195829856,712129.43487458711
France,2025-04-01,Offsite,Sales Driven Prog,DM Network,Web+App,745845.42287409445,688970.87697944161
France,2025-04-01,Offsite,Open Auction,DM Network,Web+App,243023.71706753882,224491.90990489017
France,2025-04-01,Offsite,Other,DM Network,Web+App,20656.533996407423,19081.367139076647
France,2025-02-01,Offsite,Adx,DM Network,Web+App,38092.776839058977,36603.0333804737
France,2025-05-01,Offsite,Sales Driven Direct,DM Network,Web+App,652829.39010592783,565808.10374928743
France,2025-03-01,Offsite,Sales Driven Direct,DM Network,Web+App,882348.00946015329,845849.59925241175
France,2025-01-01,Offsite,Sales Driven Prog,DM Network,Web+App,546873.16882113251,520385.54460094444
France,2025-03-01,Offsite,Sales Driven Prog,DM Network,Web+App,851738.18111171492,816505.94939530734
France,2025-01-01,Offsite,Other,DM Network,Web+App,8482.5038099607318,8071.6564943959775
France,2025-02-01,Offsite,Sales Driven Prog,DM Network,Web+App,522140.44258525438,501720.421432934
France,2025-02-01,Offsite,Sales Driven Direct,DM Network,Web+App,355861.89948038,341944.74822752
France,2025-07-01,Offsite,Adx,DM Network,Web+App,42139.984528953515,36532.279608975739
France,2025-01-01,Offsite,Adx,DM Network,Web+App,36285.56429895544,34528.084783476486
France,2025-05-01,Offsite,Open Auction,DM Network,Web+App,403365.69712134375,349597.58807535429
France,2025-03-01,Offsite,Open Auction,DM Network,Web+App,202508.23700887198,194131.46432332069
France,2025-06-01,Offsite,Other,DM Network,Web+App,32422.615275008331,28616.606597536036
France,2025-01-01,Offsite,Open Auction,DM Network,Web+App,211071.81829745657,200848.62336802416
France,2025-02-01,Offsite,Other,DM Network,Web+App,8028.5899137445285,7714.6054710719027
France,2025-07-01,Offsite,Open Auction,DM Network,Web+App,262828.58874473843,227853.13285196223
France,2025-05-01,Offsite,Adx,DM Network,Web+App,38026.486570352972,32957.606665239189
France,2025-01-01,Offsite,Sales Driven Direct,DM Network,Web+App,373457.40686026186,355369.11871753912
France,2025-07-01,Offsite,Sales Driven Direct,DM Network,Web+App,492266.69975109032,426759.16753453866
France,2025-06-01,Offsite,Sales Driven Direct,DM Network,Web+App,1084972.4708475724,957610.30083633924
France,2025-04-01,Offsite,Sales Driven Direct,DM Network,Web+App,752282.55462888512,694917.14436181716
France,2025-04-01,Offsite,Adx,DM Network,Web+App,28955.376797436456,26747.380534327705
France,2025-03-01,Offsite,Adx,DM Network,Web+App,40428.411760031922,38756.08662228052
